"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
"Use Case ID

[Agency Abbrev.] ¤ [#] ",Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency¡s mission and/or the general public?,Describe the AI system¡s outputs.,Date when AI use case became operational or the pilot¡s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be  publicly disclosed as an  open government data asset,  provide a link to the entry on the Federal Data Catalog.",Does this AI use case  involve personally  identifiable information (PII)  that is maintained by the  agency?,"If publicly available, provide  the link to the AI use case¡s associated Privacy Impact Assessment (PIA).","Which, if any, demographic  variables does the AI use  case explicitly use as model  features?",Does this project include  custom-developed code?,"If the code is open source, provide the link for the  publicly available source  code.","Has pre-deployment testing been conducted for this AI  use case? 




Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case? 



Practice: Complete AI Impact Assessment","What are the potential  impacts of using the AI for  this particular use case and  how were they identified?    



Subpractice: Complete AI  Impact Assessment","Has as independent review  of the AI use case been  conducted?    




Sub practice Complete AI  Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?

Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic  training for operators of the  AI to interpret and act on the  its output and managed associated risks?


Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?





Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or  contest the AI system¡s  outcome?


Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?




Practice: Consult and Incorporate Feedback from End Users and the Public"
SEC-1,Comment Letter Review and Analysis ,Office of Information Technology (OIT),AskTheCAIO@sec.gov ,a) No,"d) Retired ¤ The use case was reported in the agency¡s prior year¡s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,NA,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-2,Forms Filed,Division of Investment Management (IM),AskTheCAIO@sec.gov ,a) No,"d) Retired ¤ The use case was reported in the agency¡s prior year¡s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-3,Tailored Shareholder Report (TSR),"Division of Investment Management (IM), Disclosure Review and Accounting Office (DRAO)",AskTheCAIO@sec.gov ,a) No,"d) Retired ¤ The use case was reported in the agency¡s prior year¡s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-5,8-K Filing Solution,Division of Corporate Finance (CF),AskTheCAIO@sec.gov ,a) No,c)  Deployed ¤ The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,[blank],Other,Computer Vision,Business users now can quickly go through the details to make a informed decisions using AWS image recognition AI service,Searches and extracts information from certain 8-K filings (HTML files and images).,Extracts of filing data.,25-Mar,b) Developed in-house,,No,[blank],8-K Filings,, No,,k) None of the above,Yes,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-6,Training Conversation Tool ,Office of Human Resources (OHR),AskTheCAIO@sec.gov ,a) No,c)  Deployed ¤ The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,[blank],Human Resources,Natural Language Processing (NLP),Strictly a training tool for practicing conversations on a variety of topic areas.,Improves communication and collaboration skills of the SEC workforce,Feedback on collaboration and communication.,24-Dec,a)?Purchased from a vendor,SkillSoft,No,[blank],This is a training sandbox only.,,No,,k) None of the above,No,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-7,Mobile Phone Artificial Intelligence Features,Office of Information Technology (OIT),AskTheCAIO@sec.gov ,a) No,"d) Retired ¤ The use case was reported in the agency¡s prior year¡s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-9,CF Staff Review Comments ,Division of Corporate Finance (CF),AskTheCAIO@sec.gov ,a) No,a) Pre-deployment ¤ The use case is in a development or acquisition status.,c) Not high-impact,[blank],Other,Classical/Predictive Machine Learning,The solution will help in classifying comments letters.,Classifies staff comments and improve CF's review process.,SEC staff comment categories,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-10,EDGAR Filing Certification Review Solution ,Office of Information Technology (OIT),AskTheCAIO@sec.gov ,a) No,"d) Retired ¤ The use case was reported in the agency¡s prior year¡s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
SEC-11,Evaluating Cybersecurity Alerts,Office of Information Technology (OIT),AskTheCAIO@sec.gov ,a) No,b)  Pilot ¤ The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,[blank],Cybersecurity,Agentic AI,Explore different mechanisms leveraging AI to inform and expedite cybersecurity processes.,Enhances identification of anomalous cybersecurity alerts for review. Increases the effectiveness and efficiency of limited cybersecurity resources.,Cybersecurity analysis reports and initial assessments of activity.,25-Aug,b) Developed in-house,[blank], No,[blank],Cybersecurity alerts,[blank], No,[blank],k) None of the above,Yes,[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank],[blank]
